@relation out2

@attribute NomSociete {Accytime,'Adria Business & Technology',Altados,'ALTEN Maroc','Alter Ipso',Aria,'ARIA Tech',Atos,'Atos ','Attijariwafa bank','AXA Group Operations Maroc','AXA Rabat (Axa Services)','BMCI Groupe BNP Paribas',Capgemini,'CGI Technologies et Solutions Maroc',Cnexia,'Deloitte Nearshore',DEVINK,DigitalentRH,'DXC Technology Maroc','Eca Assurances','Econocom Maroc','EnerGetic Link',Eumatech,'Excel Management Conseil','Groupe Adaming','Groupe Label Vie','Hit Radio','HPS Maroc',Intelcia,'Intelcia ITS',Intelcom,'INTM Mediterranée',Involys,'La Marocaine vie','LCI Education','Leet initiative',Leyton,'Lydec et SUEZ',Majorel,'Manpower Agences','Maroc Climate and Security (MCS) - Carrier','Meski Invest - Riva Industries',Neosys,OBS,'Oceane Consulting',Omnishore,Opus.RH,'ORH Assessment','Perenity Software',Preci,ReKrute,Richbond,'Sitel Group','Société Générale Maroc','Sofrecom Services Maroc','SQLI Maroc',TeamDEV,'TNC  The Next Clic ',Umanis,'Utac Ceram Maroc','Webhelp Maroc',Welink}
@attribute Python {false,true}
@attribute Java {false,true}
@attribute Html {false,true}
@attribute Css {false,true}
@attribute Js {false,true}
@attribute Sql {false,true}
@attribute Laravel {false,true}

@data
Involys,false,false,false,false,false,true,false
Involys,false,false,false,false,false,false,false
'La Marocaine vie',false,true,false,false,false,false,false
'LCI Education',false,false,false,false,false,false,false
'LCI Education',false,false,false,false,false,false,false
'Leet initiative',false,true,true,true,false,false,false
Leyton,false,false,false,false,false,false,false
Leyton,false,false,false,false,false,false,false
'Lydec et SUEZ',false,false,false,false,false,false,false
'Lydec et SUEZ',false,false,false,false,false,false,false
Majorel,false,false,false,false,false,false,false
'Manpower Agences',false,false,false,false,false,false,false
'Manpower Agences',false,false,false,false,false,false,false
'Manpower Agences',false,false,false,false,false,false,false
'Manpower Agences',false,false,false,false,false,false,false
'Manpower Agences',false,true,false,false,false,false,false
'Maroc Climate and Security (MCS) - Carrier',false,false,false,false,false,false,false
'Maroc Climate and Security (MCS) - Carrier',false,false,false,false,false,false,false
'Maroc Climate and Security (MCS) - Carrier',false,false,true,false,false,false,false
'Meski Invest - Riva Industries',false,false,false,false,false,false,false
Neosys,false,false,false,false,false,false,false
Neosys,false,false,false,false,false,true,false
Neosys,false,false,true,true,false,false,false
Neosys,false,false,false,false,false,false,false
OBS,false,true,false,false,false,false,false
OBS,false,false,false,false,false,false,false
OBS,false,true,true,false,false,true,false
OBS,false,true,false,false,true,false,false
OBS,false,true,false,false,false,true,false
OBS,false,true,false,false,false,true,false
OBS,false,true,false,false,false,false,false
OBS,false,true,false,false,false,false,false
OBS,false,true,true,true,false,true,false
OBS,false,true,false,false,false,true,false
OBS,false,false,false,false,false,true,false
OBS,false,false,false,false,false,true,false
OBS,true,false,false,false,false,true,false
OBS,false,false,false,false,false,false,false
OBS,false,true,false,false,false,false,false
OBS,false,true,false,false,true,true,false
OBS,false,true,true,true,false,true,false
OBS,false,true,false,false,true,true,false
'Oceane Consulting',false,true,false,false,false,true,false
'Oceane Consulting',false,false,false,false,false,true,false
'Oceane Consulting',true,false,false,false,false,true,false
'Oceane Consulting',false,false,false,false,false,true,false
'Oceane Consulting',true,false,false,false,false,true,false
'Oceane Consulting',false,false,false,false,false,true,false
Omnishore,false,false,false,false,false,false,false
Omnishore,false,false,false,false,false,false,false
Omnishore,false,true,false,false,false,false,false
Omnishore,false,true,false,false,false,false,false
Opus.RH,false,false,false,false,false,false,false
'ORH Assessment',false,false,false,false,false,false,false
'Perenity Software',false,true,true,true,true,false,false
'Perenity Software',false,true,true,true,true,false,false
'Perenity Software',false,true,false,false,false,true,false
'Perenity Software',false,false,false,false,false,false,false
Preci,false,false,false,false,false,false,false
Preci,false,false,false,false,false,false,false
Preci,false,false,false,false,false,false,false
Preci,false,false,false,false,false,false,false
Preci,false,false,false,false,false,false,false
Preci,false,true,false,false,false,true,false
Preci,false,false,false,false,false,false,false
Preci,false,true,false,false,false,true,false
ReKrute,false,false,false,false,false,false,false
Richbond,false,false,false,false,false,false,false
'Sitel Group',true,false,false,false,false,false,false
'Sitel Group',false,true,false,false,false,true,false
'Sitel Group',false,false,false,false,false,false,false
'Sitel Group',false,false,false,false,false,true,false
'Sitel Group',false,false,false,false,false,false,false
'Sitel Group',false,true,false,false,false,true,false
'Société Générale Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',true,true,false,false,true,true,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',true,false,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,true,false,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,false,false
'Sofrecom Services Maroc',true,false,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',true,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,true,false,false,true,false,false
'Sofrecom Services Maroc',true,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,true,false,false,false,false,false
'Sofrecom Services Maroc',false,false,true,true,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,true,false
'Sofrecom Services Maroc',false,false,true,true,false,true,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,true,false
'Sofrecom Services Maroc',false,true,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'Sofrecom Services Maroc',false,false,false,false,false,false,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,false,true,true,false,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',true,false,false,false,false,true,false
'SQLI Maroc',false,false,false,false,false,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,true,false,false,false,true,false
'SQLI Maroc',false,true,true,true,true,true,false
'SQLI Maroc',false,false,false,false,false,false,false
'SQLI Maroc',false,false,false,false,false,true,false
'SQLI Maroc',false,true,false,false,false,true,false
'SQLI Maroc',false,false,false,false,false,true,false
'SQLI Maroc',false,false,false,false,false,false,false
TeamDEV,false,false,false,false,false,true,false
TeamDEV,false,false,false,false,false,true,false
'TNC  The Next Clic ',false,true,false,false,false,false,false
'TNC  The Next Clic ',false,false,false,false,false,false,false
'TNC  The Next Clic ',false,true,true,true,true,false,false
'TNC  The Next Clic ',false,false,false,false,false,false,false
'TNC  The Next Clic ',false,true,true,true,true,false,false
'TNC  The Next Clic ',false,false,false,false,false,false,false
'TNC  The Next Clic ',false,false,false,false,false,false,false
'TNC  The Next Clic ',false,false,false,false,false,false,false
Umanis,false,false,false,false,false,false,false
Umanis,false,false,false,false,false,false,false
Umanis,false,true,true,false,true,true,false
Umanis,false,false,false,false,false,false,false
Umanis,false,false,false,false,false,false,false
Umanis,false,false,false,false,false,true,false
'Utac Ceram Maroc',false,false,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,true,false
'Webhelp Maroc',false,false,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,true,false
'Webhelp Maroc',false,true,true,true,true,true,false
'Webhelp Maroc',true,true,false,false,false,false,false
'Webhelp Maroc',false,false,false,false,false,false,false
Welink,false,false,false,false,false,false,false
Welink,false,false,false,false,false,false,false
Welink,false,false,false,false,false,false,false
Welink,false,false,false,false,false,false,false
Welink,false,true,false,false,true,false,false
Welink,false,true,true,true,true,true,false
Welink,false,false,false,false,false,false,false
